"","term","type","polarity","polarity_revision"
"13867","equiponderar","vb",0,"A"
"13868","equitativa","adj",1,"A"
"13869","equitativa","adj",1,"A"
"13870","equitativas","adj",1,"A"
"13871","equitativas","adj",1,"A"
"13872","equitativo","adj",1,"A"
"13873","equitativo","adj",1,"A"
"13874","equitativos","adj",1,"A"
"13875","equitativos","adj",1,"A"
"13876","equivalente","adj",0,"A"
"13877","equivalentes","adj",0,"A"
"13878","equivaler","vb",0,"A"
"13879","equivaler","vb",0,"A"
"13880","equivoca","adj",-1,"A"
"13881","equivocada","adj",1,"A"
"13882","equivocadas","adj",-1,"A"
"13883","equivocado","adj",-1,"A"
"13884","equivocados","adj",-1,"A"
"13885","equivocar","vb",0,"A"
"13886","equivocas","adj",-1,"A"
"13887","equivoco","adj",-1,"A"
"13888","equivocos","adj",-1,"A"
"13889","erecta","adj",0,"A"
"13890","erectas","adj",0,"A"
"13891","erecto","adj",0,"A"
"13892","erectos","adj",0,"A"
"13893","ereta","adj",-1,"A"
"13894","eretas","adj",-1,"A"
"13895","ereto","adj",-1,"A"
"13896","eretos","adj",-1,"A"
"13897","erguer","vb",0,"A"
"13898","erguer-se","vb",0,"A"
"13899","ericar","vb",0,"A"
"13900","erigir","vb",0,"A"
"13901","erma","adj",-1,"A"
"13902","ermar","vb",0,"A"
"13903","ermas","adj",-1,"A"
"13904","ermo","adj",-1,"A"
"13905","ermos","adj",-1,"A"
"13906","erodir","vb",0,"A"
"13907","erosar","vb",0,"A"
"13908","erotica","adj",0,"A"
"13909","eroticas","adj",0,"A"
"13910","erotico","adj",0,"A"
"13911","eroticos","adj",0,"A"
"13912","erotomaniaca","adj",-1,"A"
"13913","erotomaniacas","adj",-1,"A"
"13914","erotomaniaco","adj",-1,"A"
"13915","erotomaniacos","adj",-1,"A"
"13916","errada","adj",-1,"M"
"13917","erradas","adj",-1,"M"
"13918","erradicar","vb",0,"A"
"13919","errado","adj",-1,"M"
"13920","errados","adj",-1,"M"
"13921","errante","adj",-1,"M"
"13922","errantes","adj",-1,"M"
"13923","errar","vb",0,"A"
"13924","erratica","adj",-1,"A"
"13925","erraticas","adj",-1,"A"
"13926","erratico","adj",1,"A"
"13927","erraticos","adj",-1,"A"
"13928","erricar","vb",0,"A"
"13929","Erro:510","emot",-1,"A"
"13930","Erro:510","emot",1,"A"
"13931","Erro:511","emot",-1,"A"
"13932","Erro:511","emot",-1,"A"
"13933","Erro:511","emot",-1,"A"
"13934","Erro:511","emot",0,"A"
"13935","Erro:511","emot",0,"A"
"13936","erronea","adj",-1,"M"
"13937","erronea","adj",-1,"M"
"13938","erroneas","adj",-1,"M"
"13939","erroneas","adj",-1,"M"
"13940","erroneo","adj",-1,"M"
"13941","erroneo","adj",-1,"M"
"13942","erroneos","adj",-1,"M"
"13943","erroneos","adj",-1,"M"
"13944","erubescer","vb",0,"A"
"13945","erudita","adj",1,"M"
"13946","eruditas","adj",1,"M"
"13947","erudito","adj",1,"M"
"13948","eruditos","adj",1,"M"
"13949","esbaforida","adj",-1,"A"
"13950","esbaforidas","adj",-1,"A"
"13951","esbaforido","adj",-1,"A"
"13952","esbaforidos","adj",-1,"A"
"13953","esbagoar","vb",-1,"A"
"13954","esbambear","vb",0,"A"
"13955","esbandalhar","vb",0,"A"
"13956","esbanjada","adj",-1,"A"
"13957","esbanjadas","adj",-1,"A"
"13958","esbanjado","adj",-1,"A"
"13959","esbanjador","adj",-1,"A"
"13960","esbanjadora","adj",-1,"A"
"13961","esbanjadoras","adj",-1,"A"
"13962","esbanjadores","adj",-1,"A"
"13963","esbanjados","adj",-1,"A"
"13964","esbanjar","vb",-1,"A"
"13965","esbarrar","vb",0,"A"
"13966","esbarrondar","vb",1,"A"
"13967","esbater","vb",1,"A"
"13968","esbatida","adj",-1,"A"
"13969","esbatidas","adj",-1,"A"
"13970","esbatido","adj",-1,"A"
"13971","esbatidos","adj",-1,"A"
"13972","esbelta","adj",1,"A"
"13973","esbeltas","adj",1,"A"
"13974","esbelto","adj",1,"A"
"13975","esbeltos","adj",1,"A"
"13976","esbilhotar","vb",-1,"A"
"13977","esbocada","adj",-1,"A"
"13978","esbocadas","adj",-1,"A"
"13979","esbocado","adj",-1,"A"
"13980","esbocados","adj",-1,"A"
"13981","esbocar","vb",1,"A"
"13982","esbodegado","adj",-1,"A"
"13983","esbofar","vb",0,"A"
"13984","esborcelar","vb",-1,"A"
"13985","esborcinar","vb",-1,"A"
"13986","esbordoar","vb",-1,"A"
"13987","esborniar","vb",0,"A"
"13988","esboroar","vb",1,"A"
"13989","esborrachar","vb",0,"A"
"13990","esborralhar","vb",1,"A"
"13991","esborratada","adj",-1,"A"
"13992","esborratadas","adj",-1,"A"
"13993","esborratado","adj",-1,"A"
"13994","esborratados","adj",-1,"A"
"13995","esbotenar","vb",-1,"A"
"13996","esbrasear","vb",0,"A"
"13997","esbrasear-se","vb",1,"A"
"13998","esbravear","vb",1,"A"
"13999","esbravecer","vb",1,"A"
"14000","esbravejar","vb",1,"A"
"14001","esbroar","vb",1,"A"
"14002","esbrucinar","vb",-1,"A"
"14003","esbrugar","vb",0,"A"
"14004","esbugalhar","vb",1,"A"
"14005","esbulhada","adj",0,"A"
"14006","esbulhadas","adj",0,"A"
"14007","esbulhado","adj",0,"A"
"14008","esbulhados","adj",0,"A"
"14009","esbulhar","vb",0,"A"
"14010","esburacada","adj",0,"A"
"14011","esburacadas","adj",0,"A"
"14012","esburacado","adj",0,"A"
"14013","esburacados","adj",0,"A"
"14014","esburacar","vb",1,"A"
"14015","esburgar","vb",0,"A"
"14016","escabelada","adj",-1,"A"
"14017","escabeladas","adj",-1,"A"
"14018","escabelado","adj",-1,"A"
"14019","escabelados","adj",-1,"A"
"14020","escabichar","vb",0,"A"
"14021","escabreado","adj",1,"A"
"14022","escabritar","vb",-1,"A"
"14023","escabrosa","adj",-1,"A"
"14024","escabrosas","adj",-1,"A"
"14025","escabrosidade","adj",-1,"A"
"14026","escabroso","adj",-1,"A"
"14027","escabrosos","adj",1,"A"
"14028","escacar","vb",0,"A"
"14029","escachar","vb",-1,"A"
"14030","escadeirar","vb",-1,"A"
"14031","escafeder-se","vb",1,"A"
"14032","escalar","vb",-1,"A"
"14033","escalavrar","vb",-1,"A"
"14034","escaldada","adj",-1,"A"
"14035","escaldadas","adj",-1,"A"
"14036","escaldado","adj",-1,"A"
"14037","escaldados","adj",-1,"A"
"14038","escaldante","adj",-1,"A"
"14039","escaldantes","adj",-1,"A"
"14040","escaldar","vb",1,"A"
"14041","escaldar-se","vb",1,"A"
"14042","escalpar","vb",1,"A"
"14043","escalpelizar","vb",1,"A"
"14044","escalvada","adj",0,"A"
"14045","escalvadas","adj",0,"A"
"14046","escalvado","adj",0,"A"
"14047","escalvados","adj",0,"A"
"14048","escamada","adj",-1,"A"
"14049","escamadas","adj",-1,"A"
"14050","escamado","adj",-1,"A"
"14051","escamados","adj",-1,"A"
"14052","escamar-se","vb",1,"A"
"14053","escambar","vb",-1,"A"
"14054","escambichar","vb",-1,"A"
"14055","escamosa","adj",-1,"A"
"14056","escamosas","adj",-1,"A"
"14057","escamoso","adj",-1,"A"
"14058","escamosos","adj",-1,"A"
"14059","escamotar","vb",0,"A"
"14060","escamoteada","adj",0,"A"
"14061","escamoteadas","adj",0,"A"
"14062","escamoteado","adj",0,"A"
"14063","escamoteados","adj",0,"A"
"14064","escamotear","vb",0,"A"
"14065","escampado","adj",1,"A"
"14066","escampar","vb",1,"A"
"14067","escampo","adj",1,"A"
"14068","escancarada","adj",-1,"A"
"14069","escancaradas","adj",-1,"A"
"14070","escancarado","adj",-1,"A"
"14071","escancarados","adj",-1,"A"
"14072","escancarar","vb",-1,"A"
"14073","escancelar","vb",1,"A"
"14074","escandalizar","vb",-1,"A"
"14075","escandalizar-se","vb",1,"A"
"14076","escandalosa","adj",-1,"A"
"14077","escandalosas","adj",1,"A"
"14078","escandaloso","adj",-1,"A"
"14079","escandalosos","adj",-1,"A"
"14080","escandescer","vb",-1,"A"
"14081","escandir","vb",1,"A"
"14082","escangalhada","adj",-1,"A"
"14083","escangalhadas","adj",-1,"A"
"14084","escangalhado","adj",-1,"A"
"14085","escangalhados","adj",-1,"A"
"14086","escangalhar","vb",0,"A"
"14087","escangalhar-se","vb",1,"A"
"14088","escanhoada","adj",0,"A"
"14089","escanhoadas","adj",0,"A"
"14090","escanhoado","adj",0,"A"
"14091","escanhoados","adj",0,"A"
"14092","escanhoar","vb",1,"A"
"14093","escanifrada","adj",-1,"A"
"14094","escanifradas","adj",-1,"A"
"14095","escanifrado","adj",-1,"A"
"14096","escanifrados","adj",-1,"A"
"14097","escanifrar","vb",0,"A"
"14098","escanzelada","adj",-1,"A"
"14099","escanzeladas","adj",-1,"A"
"14100","escanzelado","adj",-1,"A"
"14101","escanzelados","adj",-1,"A"
"14102","escapa","adj",-1,"A"
"14103","escapadica","adj",-1,"A"
"14104","escapadicas","adj",-1,"A"
"14105","escapadico","adj",-1,"A"
"14106","escapadicos","adj",-1,"A"
"14107","escapar","vb",0,"A"
"14108","escapas","adj",-1,"A"
"14109","escape","adj",-1,"A"
"14110","escapes","adj",-1,"A"
"14111","escapo","adj",-1,"A"
"14112","escapos","adj",-1,"A"
"14113","escapulir","vb",1,"A"
"14114","escaqueirar","vb",0,"A"
"14115","escarafunchar","vb",0,"A"
"14116","escaramucar","vb",0,"A"
"14117","escarapelar","vb",0,"A"
"14118","escarmentar","vb",0,"A"
"14119","escarnecedor","adj",-1,"A"
"14120","escarnecedora","adj",-1,"A"
"14121","escarnecedoras","adj",-1,"A"
"14122","escarnecedores","adj",-1,"A"
"14123","escarnecer","vb",1,"A"
"14124","escarnecida","adj",-1,"A"
"14125","escarnecidas","adj",-1,"A"
"14126","escarnecido","adj",-1,"A"
"14127","escarnecidos","adj",-1,"A"
"14128","escarnificar","vb",-1,"A"
"14129","escarninha","adj",-1,"A"
"14130","escarninhas","adj",-1,"A"
"14131","escarninho","adj",-1,"A"
"14132","escarninhos","adj",-1,"A"
"14133","escarnir","vb",1,"A"
"14134","escarolar","vb",-1,"A"
"14135","escarpado","adj",-1,"A"
"14136","escarpelar","vb",0,"A"
"14137","escarranchada","adj",0,"A"
"14138","escarranchadas","adj",0,"A"
"14139","escarranchado","adj",0,"A"
"14140","escarranchados","adj",0,"A"
"14141","escarrapachada","adj",-1,"A"
"14142","escarrapachadas","adj",-1,"A"
"14143","escarrapachado","adj",-1,"A"
"14144","escarrapachados","adj",-1,"A"
"14145","escarrar","vb",1,"A"
"14146","escarvar","vb",0,"A"
"14147","escascar","vb",0,"A"
"14148","escassa","adj",-1,"M"
"14149","escassas","adj",-1,"M"
"14150","escasseado","adj",-1,"A"
"14151","escassear","vb",0,"A"
"14152","escasso","adj",-1,"M"
"14153","escassos","adj",-1,"M"
"14154","escatologica","adj",-1,"M"
"14155","escatologicas","adj",-1,"M"
"14156","escatologico","adj",-1,"M"
"14157","escatologicos","adj",-1,"M"
"14158","escavacada","adj",-1,"A"
"14159","escavacadas","adj",-1,"A"
"14160","escavacado","adj",-1,"A"
"14161","escavacados","adj",-1,"A"
"14162","escavacar","vb",0,"A"
"14163","escavar","vb",1,"A"
"14164","escaveirada","adj",-1,"A"
"14165","escaveiradas","adj",-1,"A"
"14166","escaveirado","adj",-1,"A"
"14167","escaveirados","adj",-1,"A"
"14168","escindir","vb",-1,"A"
"14169","esclarecedor","adj",1,"M"
"14170","esclarecedora","adj",1,"M"
"14171","esclarecedoras","adj",1,"M"
"14172","esclarecedores","adj",1,"M"
"14173","esclarecer","vb",-1,"A"
"14174","esclarecer-se","vb",1,"A"
"14175","esclarecida","adj",1,"M"
"14176","esclarecidas","adj",1,"M"
"14177","esclarecido","adj",1,"M"
"14178","esclarecidos","adj",1,"M"
"14179","esclerosada","adj",-1,"A"
"14180","esclerosadas","adj",-1,"A"
"14181","esclerosado","adj",-1,"A"
"14182","esclerosados","adj",-1,"A"
"14183","esclerotica","adj",-1,"A"
"14184","escleroticas","adj",-1,"A"
"14185","esclerotico","adj",-1,"A"
"14186","escleroticos","adj",-1,"A"
"14187","escoar","vb",0,"A"
"14188","escoar-se","vb",0,"A"
"14189","escoces","adj",0,"M"
"14190","escocesa","adj",0,"M"
"14191","escocesas","adj",0,"M"
"14192","escoceses","adj",0,"M"
"14193","escoicear","vb",1,"A"
"14194","escoimar","vb",0,"A"
"14195","escolada","adj",0,"A"
"14196","escoladas","adj",0,"A"
"14197","escolado","adj",0,"A"
"14198","escolados","adj",0,"A"
"14199","escolar","vb",1,"A"
"14200","escolarizada","adj",1,"A"
"14201","escolarizadas","adj",1,"A"
"14202","escolarizado","adj",1,"A"
"14203","escolarizados","adj",1,"A"
"14204","escolastica","adj",0,"A"
"14205","escolasticas","adj",0,"A"
"14206","escolastico","adj",0,"A"
"14207","escolasticos","adj",0,"A"
"14208","escolher","vb",-1,"A"
"14209","escolhida","adj",0,"A"
"14210","escolhidas","adj",0,"A"
"14211","escolhido","adj",1,"A"
"14212","escolhidos","adj",0,"A"
"14213","escoltar","vb",0,"A"
"14214","esconder","vb",-1,"A"
"14215","escondida","adj",-1,"A"
"14216","escondidas","adj",-1,"A"
"14217","escondido","adj",-1,"A"
"14218","escondidos","adj",-1,"A"
"14219","esconjurar","vb",-1,"A"
"14220","esconjurar-se","vb",1,"A"
"14221","esconsa","adj",-1,"A"
"14222","esconsas","adj",-1,"A"
"14223","esconso","adj",-1,"A"
"14224","esconsos","adj",-1,"A"
"14225","escorada","adj",1,"A"
"14226","escoradas","adj",1,"A"
"14227","escorado","adj",1,"A"
"14228","escorados","adj",1,"A"
"14229","escorar","vb",0,"A"
"14230","escorchante","adj",-1,"M"
"14231","escorchantes","adj",-1,"M"
"14232","escorchar","vb",0,"A"
"14233","escordar","vb",0,"A"
"14234","escoriada","adj",-1,"A"
"14235","escoriadas","adj",-1,"A"
"14236","escoriado","adj",-1,"A"
"14237","escoriados","adj",-1,"A"
"14238","escoriar","vb",0,"A"
"14239","escorificar","vb",0,"A"
"14240","escoroar","vb",1,"A"
"14241","escorracada","adj",-1,"A"
"14242","escorracadas","adj",-1,"A"
"14243","escorracado","adj",-1,"A"
"14244","escorracados","adj",-1,"A"
"14245","escorracar","vb",0,"A"
"14246","escorregadia","adj",-1,"A"
"14247","escorregadias","adj",-1,"A"
"14248","escorregadio","adj",-1,"A"
"14249","escorregadios","adj",-1,"A"
"14250","escorregar","vb",0,"A"
"14251","escorreita","adj",1,"A"
"14252","escorreitas","adj",1,"A"
"14253","escorreito","adj",1,"A"
"14254","escorreitos","adj",1,"A"
"14255","escorrer","vb",0,"A"
"14256","escoteira","adj",0,"A"
"14257","escoteiras","adj",0,"A"
"14258","escoteiro","adj",0,"A"
"14259","escoteiros","adj",0,"A"
"14260","escoucear","vb",1,"A"
"14261","escovar","vb",-1,"A"
"14262","escrachada","adj",1,"A"
"14263","escrachadas","adj",1,"A"
"14264","escrachado","adj",-1,"A"
"14265","escrachados","adj",-1,"A"
"14266","escrava","adj",1,"A"
"14267","escravas","adj",1,"A"
"14268","escravizada","adj",-1,"A"
"14269","escravizadas","adj",-1,"A"
"14270","escravizado","adj",-1,"A"
"14271","escravizados","adj",-1,"A"
"14272","escravizar","vb",0,"A"
"14273","escravizar-se","vb",1,"A"
"14274","escravo","adj",1,"A"
"14275","escravos","adj",1,"A"
"14276","escrever","vb",1,"A"
"14277","escruciante","adj",-1,"M"
"14278","escrupulosa","adj",1,"A"
"14279","escrupulosas","adj",1,"A"
"14280","escrupuloso","adj",1,"A"
"14281","escrupulosos","adj",1,"A"
"14282","escrutar","vb",0,"A"
"14283","escudar","vb",1,"A"
"14284","escudar-se","vb",1,"A"
"14285","esculachada","adj",-1,"A"
"14286","esculachadas","adj",-1,"A"
"14287","esculachado","adj",-1,"A"
"14288","esculachados","adj",-1,"A"
"14289","esculhambar","vb",-1,"A"
"14290","esculpida","adj",-1,"A"
"14291","esculpidas","adj",-1,"A"
"14292","esculpido","adj",-1,"A"
"14293","esculpidos","adj",-1,"A"
"14294","esculpir","vb",0,"A"
"14295","esculturais","adj",1,"A"
"14296","escultural","adj",1,"A"
"14297","escura","adj",0,"M"
"14298","escuras","adj",0,"M"
"14299","escurecer","vb",-1,"A"
"14300","escurecer-se","vb",0,"A"
"14301","escurentar","vb",-1,"A"
"14302","escuro","adj",0,"M"
"14303","escuros","adj",0,"M"
"14304","escusa","adj",-1,"A"
"14305","escusada","adj",-1,"A"
"14306","escusadas","adj",-1,"A"
"14307","escusado","adj",-1,"A"
"14308","escusados","adj",-1,"A"
"14309","escusar","vb",-1,"A"
"14310","escusas","adj",-1,"A"
"14311","escuso","adj",-1,"A"
"14312","escusos","adj",-1,"A"
"14313","escutar","vb",0,"A"
"14314","escutista","adj",0,"A"
"14315","escutistas","adj",0,"A"
"14316","esdruxula","adj",-1,"A"
"14317","esdruxulas","adj",-1,"A"
"14318","esdruxulo","adj",-1,"A"
"14319","esdruxulos","adj",-1,"A"
"14320","esfacelado","adj",-1,"A"
"14321","esfacelar","vb",-1,"A"
"14322","esfachear","vb",-1,"A"
"14323","esfaimada","adj",-1,"A"
"14324","esfaimadas","adj",-1,"A"
"14325","esfaimado","adj",-1,"A"
"14326","esfaimados","adj",-1,"A"
"14327","esfalecer","vb",0,"A"
"14328","esfalfada","adj",-1,"A"
"14329","esfalfadas","adj",-1,"A"
"14330","esfalfado","adj",-1,"A"
"14331","esfalfados","adj",-1,"A"
"14332","esfalfar","vb",0,"A"
"14333","esfaquear","vb",-1,"A"
"14334","esfarelar","vb",0,"A"
"14335","esfarinhar","vb",0,"A"
"14336","esfarrapada","adj",-1,"A"
"14337","esfarrapadas","adj",-1,"A"
"14338","esfarrapado","adj",-1,"A"
"14339","esfarrapados","adj",-1,"A"
"14340","esfarrapar","vb",0,"A"
"14341","esfatiar","vb",1,"A"
"14342","esfazer","vb",-1,"A"
"14343","esfazer-se","vb",0,"A"
"14344","esferica","adj",-1,"A"
"14345","esfericas","adj",-1,"A"
"14346","esferico","adj",-1,"A"
"14347","esfericos","adj",-1,"A"
"14348","esfiar","vb",0,"A"
"14349","esfingetico","adj",-1,"A"
"14350","esfingica","adj",-1,"A"
"14351","esfingicas","adj",-1,"A"
"14352","esfingico","adj",-1,"A"
"14353","esfingicos","adj",-1,"A"
"14354","esfoguear","vb",0,"A"
"14355","esfoguear-se","vb",1,"A"
"14356","esfolar","vb",0,"A"
"14357","esfolhar","vb",0,"A"
"14358","esfomeada","adj",-1,"A"
"14359","esfomeadas","adj",-1,"A"
"14360","esfomeado","adj",-1,"A"
"14361","esfomeados","adj",-1,"A"
"14362","esforcada","adj",1,"A"
"14363","esforcadas","adj",1,"A"
"14364","esforcado","adj",1,"A"
"14365","esforcados","adj",1,"A"
"14366","esforcar","vb",1,"A"
"14367","esforcar-se","vb",1,"A"
"14368","esfraldar","vb",-1,"A"
"14369","esfrangalhar","vb",-1,"A"
"14370","esfrangalhar-se","vb",1,"A"
"14371","esfregar","vb",1,"A"
"14372","esfriar","vb",1,"A"
"14373","esfrolar","vb",0,"A"
"14374","esfumacar","vb",1,"A"
"14375","esfumacar-se","vb",1,"A"
"14376","esfumear","vb",1,"A"
"14377","esfuracar","vb",1,"A"
"14378","esfuziante","adj",1,"A"
"14379","esfuziantes","adj",1,"A"
"14380","esfuziar","vb",1,"A"
"14381","esfuzilar","vb",1,"A"
"14382","esgacar","vb",1,"A"
"14383","esgalgada","adj",-1,"A"
"14384","esgalgadas","adj",-1,"A"
"14385","esgalgado","adj",-1,"A"
"14386","esgalgados","adj",-1,"A"
"14387","esganada","adj",-1,"A"
"14388","esganadas","adj",-1,"A"
"14389","esganado","adj",-1,"A"
"14390","esganados","adj",-1,"A"
"14391","esganar","vb",1,"A"
"14392","esganicada","adj",-1,"A"
"14393","esganicadas","adj",-1,"A"
"14394","esganicado","adj",-1,"A"
"14395","esganicados","adj",-1,"A"
"14396","esgarrar-se","vb",1,"A"
"14397","esgatanhar","vb",0,"A"
"14398","esgazeada","adj",-1,"A"
"14399","esgazeadas","adj",-1,"A"
"14400","esgazeado","adj",-1,"A"
"14401","esgazeados","adj",-1,"A"
"14402","esgazear","vb",1,"A"
"14403","esgoelar","vb",0,"A"
"14404","esgotada","adj",-1,"A"
"14405","esgotadas","adj",-1,"A"
"14406","esgotado","adj",-1,"A"
"14407","esgotados","adj",-1,"A"
"14408","esgotante","adj",-1,"A"
"14409","esgotantes","adj",-1,"A"
"14410","esgotar","vb",-1,"A"
"14411","esgotar-se","vb",0,"A"
"14412","esgrimir","vb",0,"A"
"14413","esgrouviada","adj",-1,"A"
"14414","esgrouviadas","adj",-1,"A"
"14415","esgrouviado","adj",-1,"A"
"14416","esgrouviados","adj",-1,"A"
"14417","esguedelhada","adj",-1,"A"
"14418","esguedelhadas","adj",-1,"A"
"14419","esguedelhado","adj",-1,"A"
"14420","esguedelhados","adj",-1,"A"
"14421","esgueirar","vb",1,"A"
"14422","esgueirar-se","vb",1,"A"
"14423","esguia","adj",0,"A"
"14424","esguias","adj",0,"A"
"14425","esguio","adj",0,"A"
"14426","esguios","adj",0,"A"
"14427","esmaecer","vb",0,"A"
"14428","esmagada","adj",-1,"A"
"14429","esmagadas","adj",-1,"A"
"14430","esmagado","adj",-1,"A"
"14431","esmagador","adj",0,"M"
"14432","esmagadora","adj",0,"M"
"14433","esmagadoras","adj",0,"M"
"14434","esmagadores","adj",0,"M"
"14435","esmagados","adj",-1,"A"
"14436","esmagar","vb",-1,"A"
"14437","esmaiar","vb",-1,"A"
"14438","esmaniar","vb",0,"A"
"14439","esmar","vb",1,"A"
"14440","esmechar","vb",-1,"A"
"14441","esmerada","adj",1,"A"
"14442","esmeradas","adj",1,"A"
"14443","esmerado","adj",1,"A"
"14444","esmerados","adj",1,"A"
"14445","esmerar","vb",0,"A"
"14446","esmerar-se","vb",1,"A"
"14447","esmerilar","vb",0,"A"
"14448","esmerilhar","vb",0,"A"
"14449","esmigalhar","vb",-1,"A"
"14450","esmiucada","adj",1,"A"
"14451","esmiucadas","adj",1,"A"
"14452","esmiucado","adj",1,"A"
"14453","esmiucados","adj",1,"A"
"14454","esmiucar","vb",0,"A"
"14455","esmiudar","vb",0,"A"
"14456","esmoer","vb",0,"A"
"14457","esmolar","vb",1,"A"
"14458","esmoler","adj",1,"A"
"14459","esmoleres","adj",1,"A"
"14460","esmondar","vb",0,"A"
"14461","esmordacar","vb",-1,"A"
"14462","esmorecer","vb",1,"A"
"14463","esmorecida","adj",-1,"A"
"14464","esmorecidas","adj",-1,"A"
"14465","esmorecido","adj",-1,"A"
"14466","esmorecidos","adj",-1,"A"
"14467","esmoucar","vb",1,"A"
"14468","esmurracar","vb",1,"A"
"14469","esmurregar","vb",1,"A"
"14470","esmurrengar","vb",1,"A"
"14471","esnobe","adj",-1,"M"
"14472","esnobes","adj",-1,"M"
"14473","esnocar","vb",1,"A"
"14474","esoterica","adj",0,"A"
"14475","esotericas","adj",0,"A"
"14476","esoterico","adj",0,"A"
"14477","esotericos","adj",0,"A"
"14478","espacar","vb",0,"A"
"14479","espacejar","vb",0,"A"
"14480","espacioso","adj",1,"A"
"14481","espacoso","adj",1,"M"
"14482","espadar","vb",1,"A"
"14483","espadauda","adj",0,"A"
"14484","espadaudas","adj",0,"A"
"14485","espadaudo","adj",0,"A"
"14486","espadaudos","adj",0,"A"
"14487","espadelar","vb",1,"A"
"14488","espairecer","vb",1,"A"
"14489","espairecer-se","vb",0,"A"
"14490","espalhada","adj",-1,"A"
"14491","espalhadas","adj",-1,"A"
"14492","espalhado","adj",-1,"A"
"14493","espalhados","adj",-1,"A"
"14494","espalhafatosa","adj",-1,"M"
"14495","espalhafatosas","adj",-1,"M"
"14496","espalhafatoso","adj",-1,"M"
"14497","espalhafatosos","adj",-1,"M"
"14498","espalhar","vb",-1,"A"
"14499","espalhar-se","vb",0,"A"
"14500","espalmada","adj",0,"M"
"14501","espalmadas","adj",0,"M"
"14502","espalmado","adj",0,"M"
"14503","espalmados","adj",0,"M"
"14504","espalmar","vb",0,"A"
"14505","espampanante","adj",-1,"M"
"14506","espampanantes","adj",-1,"M"
"14507","espamparar","vb",-1,"A"
"14508","espanar","vb",0,"A"
"14509","espancada","adj",-1,"M"
"14510","espancadas","adj",-1,"M"
"14511","espancado","adj",-1,"M"
"14512","espancados","adj",-1,"M"
"14513","espancar","vb",-1,"A"
"14514","espandongar","vb",0,"A"
"14515","espanhois","adj",0,"M"
"14516","espanhol","adj",0,"M"
"14517","espanhola","adj",0,"M"
"14518","espanholas","adj",0,"M"
"14519","espanholas","adj",1,"A"
"14520","espantada","adj",-1,"A"
"14521","espantadas","adj",-1,"A"
"14522","espantadico","adj",-1,"A"
"14523","espantado","adj",-1,"A"
"14524","espantados","adj",-1,"A"
"14525","espantar","vb",1,"A"
"14526","espantosa","adj",0,"M"
"14527","espantosas","adj",0,"M"
"14528","espantoso","adj",0,"M"
"14529","espantosos","adj",0,"M"
"14530","espargir","vb",0,"A"
"14531","espargir-se","vb",1,"A"
"14532","esparramada","adj",-1,"A"
"14533","esparramadas","adj",-1,"A"
"14534","esparramado","adj",-1,"A"
"14535","esparramados","adj",-1,"A"
"14536","espartana","adj",0,"A"
"14537","espartanas","adj",0,"A"
"14538","espartano","adj",0,"A"
"14539","espartanos","adj",0,"A"
"14540","esparzir","vb",0,"A"
"14541","esparzir-se","vb",1,"A"
"14542","espatifada","adj",-1,"A"
"14543","espatifadas","adj",-1,"A"
"14544","espatifado","adj",-1,"A"
"14545","espatifados","adj",-1,"A"
"14546","espatifar","vb",0,"A"
"14547","espaventar","vb",1,"A"
"14548","espaventar-se","vb",1,"A"
"14549","espaventosa","adj",0,"A"
"14550","espaventosas","adj",0,"A"
"14551","espaventoso","adj",0,"A"
"14552","espaventosos","adj",0,"A"
"14553","espavorecer","vb",1,"A"
"14554","espavorida","adj",-1,"A"
"14555","espavoridas","adj",-1,"A"
"14556","espavorido","adj",-1,"A"
"14557","espavoridos","adj",-1,"A"
"14558","espavorir","vb",1,"A"
"14559","espavorizar","vb",1,"A"
"14560","especada","adj",-1,"A"
"14561","especadas","adj",-1,"A"
"14562","especado","adj",-1,"A"
"14563","especados","adj",-1,"A"
"14564","especar","vb",0,"A"
"14565","especiais","adj",1,"M"
"14566","especial","adj",1,"M"
"14567","especialista","adj",0,"M"
"14568","especialistas","adj",0,"M"
"14569","especializar","vb",1,"A"
"14570","especifica","adj",0,"M"
"14571","especificar","vb",1,"A"
"14572","especificas","adj",0,"M"
"14573","especifico","adj",0,"M"
"14574","especificos","adj",0,"M"
"14575","especiosa","adj",0,"A"
"14576","especiosas","adj",0,"A"
"14577","especioso","adj",0,"A"
"14578","especiosos","adj",0,"A"
"14579","espectacular","adj",1,"M"
"14580","espectaculares","adj",1,"A"
"14581","espectador","adj",0,"A"
"14582","espectadora","adj",0,"A"
"14583","espectadoras","adj",0,"A"
"14584","espectadores","adj",0,"A"
"14585","espectrais","adj",1,"A"
"14586","espectral","adj",1,"A"
"14587","especular","vb",1,"A"
"14588","especular","adj",1,"A"
"14589","espedacar","vb",-1,"A"
"14590","espelhar","vb",0,"A"
"14591","espelhar-se","vb",0,"A"
"14592","espelhento","adj",1,"A"
"14593","esperada","adj",1,"A"
"14594","esperadas","adj",1,"A"
"14595","esperado","adj",1,"A"
"14596","esperados","adj",1,"A"
"14597","esperancada","adj",1,"A"
"14598","esperancadas","adj",1,"A"
"14599","esperancado","adj",1,"A"
"14600","esperancados","adj",1,"A"
"14601","esperancar","vb",0,"A"
"14602","esperancosa","adj",1,"M"
"14603","esperancosas","adj",1,"M"
"14604","esperancoso","adj",1,"M"
"14605","esperancosos","adj",1,"M"
"14606","esperar","vb",1,"A"
