,0
474,0.22499999999999998
475,0.0
476,0.4000000000000001
477,0.1328125
478,0.009375000000000022
479,0.5
480,0.25
481,0.0
482,1.0
483,0.0
484,0.0
485,0.6
486,0.2
487,-0.2714285714285714
488,-0.3482142857142857
489,0.0
490,0.5
491,-0.02200000000000001
492,0.35
493,0.32060546875
494,0.0
495,0.0666666666666667
496,0.0
497,0.5
498,0.5
499,0.5
500,0.0
501,0.0
502,0.0
503,0.0
504,-0.30000000000000004
505,0.05
506,0.1875
507,0.0
508,0.0
509,0.1375
510,0.0
511,-0.55
512,-1.0
513,0.09722222222222224
514,0.41666666666666663
515,0.25
516,0.19219576719576717
517,0.0
518,0.21666666666666667
519,-0.16666666666666666
520,0.0
521,0.0
522,0.0
523,0.175
524,0.5
525,0.5
526,0.0
527,-0.25
528,-0.39999999999999997
529,0.0
530,0.35
531,-0.2916666666666667
532,-0.5
533,0.875
534,0.3
535,0.0
536,-0.16666666666666666
537,0.0
538,0.0
539,0.14444444444444446
540,0.0
541,-0.7999999999999999
542,-0.75
543,0.0
544,0.3
545,0.07595238095238095
546,0.3444444444444444
547,0.1953125
548,0.0
549,0.16
550,0.0
551,0.35
552,0.0
553,0.7
554,-0.16666666666666666
555,0.5
556,0.1
557,0.4083333333333333
558,-0.4
559,0.75
560,-0.23125
561,0.0
562,-1.0
563,0.07500000000000001
564,0.5
565,0.0
566,0.05524215367965366
567,0.2
568,0.0625
569,0.3875
570,0.625
571,-0.08333333333333333
572,0.6
573,-0.1
574,0.3333333333333333
575,0.0
576,0.0
577,0.0
578,0.0
579,-0.2
580,0.0
581,0.8
582,0.8
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,-0.41666666666666663
590,-0.5
591,0.0
592,-0.18333333333333335
593,-0.14722222222222225
594,0.21885521885521886
595,0.0
596,0.8
597,0.0
598,-0.3333333333333333
599,0.0
600,0.08935185185185185
601,-0.39999999999999997
602,0.42500000000000004
603,0.7000000000000001
604,-0.2
605,0.0625
606,0.5
607,-0.7999999999999999
608,0.24537962037962038
609,0.0
610,-0.15555555555555559
611,0.0
612,-0.3333333333333333
613,-0.010101010101010102
614,0.09523809523809523
615,0.4166666666666667
616,0.31212121212121213
617,0.0
618,0.0
619,0.8
620,0.6
621,0.5
622,0.0
623,0.0
624,-0.29166666666666663
625,-0.25
626,0.05277777777777778
627,0.0
628,0.0
629,0.0
630,0.25416666666666665
631,0.0
632,0.0
633,0.75
634,-0.22916666666666669
635,0.75
636,0.030000000000000006
637,0.55
638,-0.3499999999999999
639,0.021590909090909077
640,0.0
641,0.10277777777777776
642,0.2833333333333333
643,0.0
644,0.13636363636363635
645,-0.6
646,0.0
647,0.85
648,0.48333333333333334
649,0.24999999999999997
650,-0.004761904761904763
651,0.0
652,-0.016666666666666666
653,0.13636363636363635
654,-0.05
655,-0.47777777777777775
656,0.13636363636363635
657,0.75
658,0.0
659,0.0
660,0.0
661,0.5
662,0.75
663,0.0
664,0.35
665,-0.15555555555555559
666,0.0
667,0.03916666666666666
668,0.07142857142857142
669,0.0
670,0.25
671,0.2
672,0.25
673,0.0
674,0.25
675,0.06818181818181818
676,-0.2
677,0.0
678,0.0
679,0.0
680,0.5083333333333333
681,0.8
682,0.75
683,0.0
684,-0.9999999999999999
685,-0.46875
686,0.0
687,0.0
688,0.0
